sample_id,F_wind_kN,w_snow_kNm,E_Pa,max_disp_x,min_disp_x,max_disp_y,min_disp_y,max_force_x,max_force_y,max_moment_z,min_moment_z
120,3.5097463971476435,2.9324261142965367,198665099998.0491,0.0045901321726334,-0.0024940479356852,0.0,-0.034382872959009,11910.433378333,17788.350821915,25734.789093294,-23997.268876805
121,4.604902437141558,4.217650037723597,197851055599.1702,0.0064573816511603,-0.003745161056242,0.0,-0.049667752426385,17032.294442906,25560.434250881,36920.350759659,-34640.672251062
122,5.205264216436731,2.73484862572807,198000616678.1206,0.0050429244017944,-0.0017093992847773,0.0,-0.032118634700159,11535.46559341,16694.020587674,24406.597228904,-21829.735351187
123,2.7770906485944105,2.8059814831825234,204951779121.2514,0.0040425245642209,-0.0024947815286312,0.0,-0.031906890252217,11268.129596528,16989.825152431,24502.822009877,-23127.998484439
124,4.4748362275138565,2.173959172744112,209514985135.19208,0.0039116915862532,-0.0011811432921232,0.0,-0.024119148396823,9244.267939523,13288.418305879,19471.848300753,-17256.545240121
125,2.2048880416406558,2.9349909226844293,201192733488.73297,0.0041326927483176,-0.0028808822630743,0.0,-0.034017389471453,11631.413549071,17733.355452496,25482.594552918,-24391.036028348
126,4.705351401218185,2.806824895990392,194622235528.1131,0.0050147113362168,-0.0019942801274956,0.0,-0.033554729600329,11698.127081222,17099.049586922,24915.203396141,-22585.835527635
127,5.670423134998487,2.715168789673687,199202742363.8623,0.0051698031222879,-0.0015253304529961,0.0,-0.031680631076653,11563.656261637,16600.922212446,24336.43412334,-21529.231999141
128,4.1639793735228,1.4683860507224322,204183186952.0601,0.0031395393357099,-0.0004608841995339,0.0,-0.016685082841504,6496.6505001354,9037.2473305067,13392.018674354,-11330.609370298
129,2.6702002536622764,1.8918504439759047,189580165213.59363,0.0032673089684937,-0.0015491238611364,0.0,-0.023233005044385,7773.8485024416,11498.058505167,16688.064682735,-15366.155630727
130,4.05748020903461,3.3706801411909724,186543067480.59253,0.0056286797081932,-0.0030452928465402,0.0,-0.04209061125397,13696.109047509,20448.90153323,29586.906756115,-27578.223423634
131,5.770639822136626,1.248559329764647,196444529777.89087,0.0036446393505749,-2.1168539154793e-07,0.0,-0.014681711306208,6017.5417325454,7804.5332641197,11855.437834305,-8998.5771930631
132,2.009180436915056,2.657339022228808,203303787217.8108,0.003706041231467,-0.0025772101373627,0.0,-0.030479019152045,10533.872961756,16056.394690339,23074.526455554,-22079.875551374
133,4.24821364842115,2.482265948849251,199193090730.07483,0.0043665796019594,-0.0016952460287382,0.0,-0.028991391371653,10364.740736105,15126.592099726,22052.553747396,-19949.440750212
134,3.72852535975079,3.011031043080065,191770554420.66757,0.0049324634914434,-0.0026113653531342,0.0,-0.036570208550231,12257.328989758,18271.954597506,26450.888493637,-24605.054518534
135,5.399992934736816,2.012732601146296,196137866544.51276,0.0043597150528992,-0.0007579906928588,0.0,-0.023817156284856,8836.8752396679,12370.731366499,18291.795838458,-15618.482173643
136,4.563113464643991,3.2611376813342936,193061338086.9361,0.005514758214275,-0.0026354051030203,0.0,-0.039327643292691,13391.590760229,19817.976432668,28758.188757572,-26499.228429902
137,2.9527012150501144,1.834527714904192,201756064173.6844,0.0031151416802207,-0.0012962619287593,0.0,-0.021159290200217,7618.7433226061,11169.299991251,16258.786913629,-14797.019001494
138,2.52251621583737,2.7584450588283898,202982205862.86783,0.0039612642179405,-0.0025417602864954,0.0,-0.031676659920509,11031.36371054,16690.890592406,24044.252109097,-22795.45818581
139,7.180228690692546,2.876526548791294,201134004527.4553,0.0058712665452408,-0.001227324457773,0.0,-0.033208136634708,12510.41271114,17650.773606829,26029.060915791,-22474.444846138
140,4.673499431466398,1.5641530052208097,200857520759.5225,0.0034904879401252,-0.0004231740348378,0.0,-0.018060552938788,6972.9563061635,9639.3444415324,14315.234179387,-12001.501764387
141,3.3392713295158933,2.101924307829331,197644084960.05432,0.0036264248734376,-0.0015302542593908,0.0,-0.024748681368447,8719.4120433666,12794.754461475,18619.150639829,-16966.018024749
142,3.974488523137394,1.905511986563356,210604097672.85785,0.0034299494082961,-0.0010140867019158,0.0,-0.021030268926408,8114.3673177753,11650.424741157,17078.492617077,-15110.889204555
143,2.6504159819511006,2.1942239513903914,204653937509.6202,0.0033431688713829,-0.0018040067466031,0.0,-0.02497374624771,8917.4431963578,13311.590290139,19261.361013602,-17949.254111687
144,5.94906683456094,1.980567161011909,198071405891.98108,0.0044939687907525,-0.0005333403082984,0.0,-0.023189698561653,8836.2780996186,12207.351483519,18132.977821783,-15187.86698676
145,5.016915799177104,2.255689311189338,198833411877.91504,0.0044209382132565,-0.0011710449499481,0.0,-0.026359888268215,9674.6277172619,13808.269688996,20282.579773309,-17798.858883511
146,4.699706337595005,2.2631598866463003,196816482571.7962,0.004351035547218,-0.0012955130516624,0.0,-0.026727733696744,9632.7608773954,13835.953971097,20279.577396017,-17952.913684026
147,4.425042362575162,3.1728932464753163,208714045190.80264,0.0049578085987237,-0.0023762467209834,0.0,-0.035394250957011,13026.009764238,19280.931488204,27976.9608815,-25786.313998952
148,3.813155527798504,1.6437913611455053,197675432112.29968,0.0033014327186495,-0.0008075059416164,0.0,-0.019317168225484,7084.9223866336,10070.920502687,14813.442791142,-12925.709764788
149,2.724299252225881,2.1829860527122205,197632635607.65485,0.0034781332031684,-0.0018302175870461,0.0,-0.025726124124236,8891.1558876579,13248.176674328,19181.146250282,-17832.459506399
150,3.009903872241214,2.1251765983849915,203809808606.25623,0.0034179012837824,-0.0016154046069511,0.0,-0.024275738911915,8734.8374599991,12916.584961934,18748.256900864,-17258.179282196
151,4.216018943634127,2.033504576481234,195284802234.578,0.0039374654928626,-0.0011754023287265,0.0,-0.024203850810372,8653.6805747346,12431.455250562,18220.089867623,-16132.917360962
152,4.881799359853513,2.1523600385626693,188841966646.69843,0.004479923100365,-0.0011445093872104,0.0,-0.026480211249849,9252.3078071918,13180.766411481,19373.213652061,-16956.517537099
